iter	Logloss
0	0.6889337152
1	0.6856269462
2	0.6820715214
3	0.6789354254
4	0.6760027433
5	0.6733393291
6	0.6707422603
7	0.6684635269
8	0.6663224067
9	0.6645125646
10	0.6627417558
11	0.6610781339
12	0.6594252586
13	0.6580605104
14	0.6566180656
15	0.6549443787
16	0.6531408481
17	0.6514324651
18	0.6497390588
19	0.6483699897
20	0.6469322778
21	0.6456609674
22	0.6440863213
23	0.6422763145
24	0.6405169983
25	0.6389703828
26	0.6375028121
27	0.6361623607
28	0.6349163947
29	0.6338479577
30	0.6328196109
31	0.6318077948
32	0.6309230049
33	0.6300852206
34	0.6292604207
35	0.6285108591
36	0.6273551132
37	0.6264213917
38	0.6254449079
39	0.6246131403
40	0.6239303596
41	0.6231411527
42	0.6223158659
43	0.6216147606
44	0.621164753
45	0.6205267835
46	0.6198491794
47	0.6193295344
48	0.6188931318
49	0.6184514381
50	0.6180118552
51	0.6177143657
52	0.617538931
53	0.6172691732
54	0.6169943632
55	0.6165164646
56	0.6162984416
57	0.615991249
58	0.6155798503
59	0.6152299322
60	0.6147353467
61	0.6143295732
62	0.6140664371
63	0.6138339037
64	0.6136430491
65	0.613399376
66	0.6131467482
67	0.6128084086
68	0.6126166457
69	0.6124238968
70	0.6121997615
71	0.6120379342
72	0.611840226
73	0.6116356302
74	0.611330703
75	0.6111812259
76	0.6108680548
77	0.6106615772
78	0.6105285109
79	0.6104460449
80	0.6102749538
81	0.6100211292
82	0.609848746
83	0.6095225667
84	0.6093366782
85	0.6091515621
86	0.6090347996
87	0.6088237414
88	0.6086824097
89	0.608480249
90	0.6083694838
91	0.6081648161
92	0.607944192
93	0.6077376645
94	0.6076140807
95	0.6073810838
96	0.6072672113
97	0.6071395315
98	0.6070201869
99	0.6068510075
