iter	Passed	Remaining
0	680	67357
1	1191	58399
2	1876	60664
3	2544	61064
4	3052	57990
5	3569	55919
6	4090	54340
7	4612	53042
8	5193	52507
9	5719	51474
10	6244	50521
11	6805	49910
12	7336	49095
13	7884	48430
14	8488	48098
15	9054	47536
16	9595	46846
17	10146	46221
18	10743	45800
19	11293	45172
20	11832	44511
21	12382	43902
22	12924	43270
23	13487	42709
24	14026	42079
25	14559	41438
26	15100	40826
27	15647	40237
28	16180	39615
29	16770	39130
30	17304	38516
31	17861	37954
32	18477	37514
33	19091	37060
34	19671	36533
35	20215	35938
36	20774	35372
37	21307	34764
38	21851	34177
39	22394	33591
40	23031	33142
41	23561	32537
42	24121	31975
43	24652	31376
44	25210	30813
45	25790	30275
46	26616	30014
47	27195	29461
48	27734	28866
49	28320	28320
50	29301	28152
51	29928	27626
52	30467	27018
53	31039	26441
54	31646	25892
55	32200	25300
56	32820	24759
57	33380	24172
58	33919	23571
59	34464	22976
60	35098	22439
61	35643	21846
62	36188	21253
63	36739	20666
64	37295	20082
65	37837	19491
66	38398	18912
67	39094	18397
68	39632	17805
69	40177	17218
70	40762	16649
71	41330	16072
72	41883	15491
73	42441	14911
74	43040	14346
75	43602	13769
76	44148	13187
77	44708	12610
78	45272	12034
79	45858	11464
80	46404	10884
81	47277	10378
82	47849	9800
83	48400	9219
84	49022	8651
85	49559	8067
86	50106	7487
87	50644	6906
88	51185	6326
89	51722	5746
90	52261	5168
91	52860	4596
92	53415	4020
93	53967	3444
94	54545	2870
95	55105	2296
96	55789	1725
97	56580	1154
98	57153	577
99	57711	0
