iter	Passed	Remaining
0	4408	2199882
1	8247	2053582
2	10540	1746275
3	12898	1599432
4	16336	1617361
5	18523	1525091
6	20986	1478041
7	22828	1403931
8	24825	1354354
9	27686	1356654
10	30134	1339606
11	32281	1312773
12	35351	1324314
13	38237	1327384
14	40753	1317692
15	43173	1306000
16	45900	1304106
17	48058	1286899
18	50076	1267727
19	52706	1264962
20	55466	1265169
21	58157	1263609
22	61104	1267248
23	63997	1269284
24	66245	1258666
25	68762	1253588
26	71196	1247257
27	73209	1234097
28	75999	1234342
29	78589	1231239
30	81150	1227721
31	83670	1223685
32	85843	1214821
33	88035	1206604
34	90599	1203674
35	93626	1206737
36	96401	1206317
37	98738	1200454
38	101159	1195758
39	103461	1189806
40	106201	1188937
41	108458	1182712
42	111307	1182968
43	113573	1177038
44	116588	1178843
45	119523	1179647
46	121835	1174282
47	124438	1171793
48	126943	1168396
49	129738	1167644
50	132042	1162491
51	134498	1158756
52	137789	1162110
53	140632	1161517
54	143472	1160825
55	146194	1159115
56	149046	1158381
57	152025	1158540
58	154725	1156507
59	157840	1157494
60	160863	1157690
61	163559	1155468
62	166210	1152922
63	167471	1140901
64	170095	1138330
65	172818	1136409
66	175810	1136210
67	178292	1132680
68	180768	1129146
69	183313	1126069
70	186130	1124649
71	189319	1125401
72	191751	1121617
73	194362	1118900
74	196891	1115719
75	199830	1114843
76	202902	1114648
77	203942	1103383
78	206917	1102687
79	209551	1100142
80	212308	1098236
81	214687	1094383
82	217617	1093328
83	220273	1090876
84	223206	1089772
85	225668	1086357
86	229065	1087400
87	231862	1085537
88	235585	1087929
89	237068	1079977
90	239850	1078007
91	242685	1076255
92	245424	1074062
93	248545	1073504
94	251397	1071746
95	254345	1070369
96	256932	1067461
97	259874	1066013
98	262349	1062647
99	265003	1060012
100	267926	1058441
101	270449	1055282
102	273468	1054046
103	276533	1052953
104	279653	1052028
105	282648	1050598
106	284741	1045824
107	287794	1044587
108	290927	1043600
109	293212	1039570
110	296494	1039067
111	299044	1035974
112	301953	1034122
113	302876	1025529
114	305569	1022993
115	308263	1020458
116	310874	1017650
117	314034	1016619
118	316682	1013916
119	319819	1012761
120	322602	1010466
121	325218	1007644
122	327845	1004859
123	330790	1003040
124	333307	999921
125	336198	997922
126	338515	994222
127	341684	993021
128	344348	990335
129	346199	985335
130	348964	982961
131	350803	977998
132	352185	971819
133	354824	969148
134	356987	965189
135	359455	962071
