utm_source,utm_medium,utm_campaign,utm_adcontent,device_category,device_brand,device_browser,geo_country,geo_city,visit_part_of_day
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,vCIpmpaGBnIQhyYNkXqp,mobile,Huawei,Chrome,Russia,other,afternon
MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,xhoenQgDQsgfEPYNPwKO,tablet,Samsung,Samsung Internet,United States,Moscow,morning
kjsLglQLzykiRbcDiGcD,cpc,LTuZkdKfxRGVceoWkVyg,other,desktop,Xiaomi,Safari,Ukraine,Krasnoyarsk,night
other,organic,gecBYcKZCPMcVYdSSzKP,JNHcPlZPxEMWDnRiyoBf,,Apple,YaBrowser,other,Saint Petersburg,evening
fDLlAcSmythWSCVMvqvL,other,other,LLfCasrxQzJIyuldcuWy,,other,Android Webview,Belarus,Yaroslavl,
BHcvLfOaCWvWTykYqHVe,referral,LwJZxKuWmvOhPsaCeRjG,dUuXlWzvmhDSyclWRhNP,,Vivo,Safari (in-app),Sweden,Balashikha,
QxAxdyPLuQMEcrdZWdWb,stories,okTXSMadDkjvntEHzIjp,TuyPWsGQruPMpKvRxeBF,,OnePlus,Opera,Kazakhstan,Vladivostok,
RmEBuqrriAfAVsLQQmhk,email,zxoiLxhuSIFrCeTLQVWZ,PkybGvWbaqORmxjNunqZ,,Realme,Firefox,Ireland,Kazan,
bByPQxmDaMXgpHeypKSM,cpv,TmThBvoCcwkCZZUWACYq,UxrnyMlRBSOhOjytXnMG,,OPPO,Edge,Germany,Tula,
jaSOmLICuBzCFqHfBdRg,push,XHNUiSKKGTEpSAlaVMFQ,yYdBRbPmBMUZHXwqGxNx,,Asus,other,Netherlands,Yekaterinburg,
aXQzDWsJuGXeBXexNHjc,,SgIUDYUKnyWHVowUOqid,WYLajZgbUhGimwBKDZUH,,,UC Browser,Turkey,Rostov-on-Don,
,,bxOTvPtyGSdUrbwoXCPO,,,,,,Samara,
,,RoDitORHdzGfGhNCyEMy,,,,,,Chelyabinsk,
,,sbJRYgVfvcnqKJNDDYIr,,,,,,Krasnodar,
,,YCKgTzTDywjcWyQudGch,,,,,,Nizhny Novgorod,
,,bJJuEXRheRIxXEaYIXqM,,,,,,Irkutsk,
,,,,,,,,Grozny,
,,,,,,,,Ufa,
,,,,,,,,Novosibirsk,
,,,,,,,,Voronezh,
